sep = , 
TIPO,OPCODE,RD,FUNCT3,RS1,RS2,IMD,FUNCT7
R,19,10,0,0,0,,0
R,23,12,0,2,28,,3
R,19,12,0,12,28,,63
B,111,,0,0,8,2048,
I,51,10,0,0,,3,
R,19,17,0,0,0,,0
I,51,0,0,0,,0,
R,19,17,0,0,2,,0
I,51,0,0,0,,0,
R,19,2,0,2,24,,63
I,35,4,2,2,,2,
I,35,0,2,2,,0,
B,99,,4,0,2,12,
R,19,11,0,0,0,,0
B,103,,0,0,0,2048,
R,19,10,0,10,31,,63
B,111,,7,31,5,4064,
R,3,1,2,0,0,,0
R,3,10,2,2,0,,0
R,19,2,0,2,0,,0
R,19,5,0,0,0,,0
I,51,5,0,10,,5,
I,51,5,0,12,,1,
R,3,6,2,1,0,,0
I,51,11,0,11,,6,
B,103,,0,0,0,2048,
R,19,13,0,0,0,,0
R,19,6,0,0,0,,0
B,99,,4,10,14,0,
R,19,5,0,0,0,,0
I,51,5,0,14,,5,
I,51,5,0,12,,1,
R,3,6,2,1,0,,0
I,51,13,0,13,,6,
R,19,14,0,14,0,,0
B,111,,7,31,5,2016,
I,51,11,0,0,,5,
B,103,,0,0,0,2048,
